trainee,id,cat,subcat,text,grade
13,01,성장과정,가치관,따뜻한 시선 / 탐구심 / 자기성찰 / 성장 중심,C
13,01,성장과정,가족/환경의 영향,부모님,E
13,01,성장과정,전환점/특별한 경험,있음,E
13,01,성격의 장단점,장점 기술,"탐구심, 관찰력, 꾸준한 학습 자세",D
13,01,성격의 장단점,단점 기술 및 극복 노력,"거울 앞 연습, 소그룹 활동 참여, 소통 능력 향상 노력",C
13,01,성격의 장단점,대인관계 성향,"소극적이었으나 개선 중, 공감과 경청을 바탕으로 유연한 소통 지향",C
13,01,학창시절,학업 태도,"꾸준하고 성실함, 주어진 일에 책임감 있게 임함",C
13,01,학창시절,활동 참여,"소그룹 활동, 역사·신화 관련 관심 분야 외 활동 확장 중",C
13,01,학창시절,성취 및 도전 경험,"감정 표현 개선을 위한 도전, 커뮤니케이션 개선 경험",C
13,01,지원동기,회사/직무 이해도,"도전과 성장의 기회로 인식, 조직 기여 의지 명확",C
13,01,지원동기,지원 이유의 명확성,"배움과 성장을 위한 새로운 환경 경험 희망, 자기계발 중심",C
13,01,지원동기,직무 적합성 강조,"탐구심, 성실성, 태도 등이 직무 수행에 긍정적으로 작용",C
13,01,입사 후 포부,단기 목표,"빠른 적응, 표현력 향상, 실무 역량 강화",D
13,01,입사 후 포부,장기 비전,배움의 자세 + 지속적 개선 의지,C
13,01,입사 후 포부,기여 방안,"팀 내 조화, 책임감 있는 업무 수행, 소통 능력 성장",C
13,01,직무 경험,직무 관련 능력,"관찰력, 분석력, 새로운 정보 흡수력 우수",C
13,01,직무 경험,문제 해결력,자기 성찰 및 피드백 기반 문제 해결 접근 가능,C
13,02,성장과정,가치관,다양성과 탐구를 중시,D
13,02,성장과정,가족/환경의 영향,가족의 지지와 격려,E
13,02,성장과정,전환점/특별한 경험,다양한 분야에 도전하며 탐구심 형성,D
13,02,성격의 장단점,장점 기술,"컴퓨터 실무 능력, 유연한 사고, 배움에 대한 의지",C
13,02,성격의 장단점,단점 기술 및 극복 노력,"성당 활동, 피드백 수용, 표정 연습",D
13,02,성격의 장단점,대인관계 성향,조용하나 공감력 있고 점진적 개선 중,D
13,02,학창시절,학업 태도,"책임감 있게 수행, 계획적 학습",D
13,02,학창시절,활동 참여,"성당 행사, 악기 연주, 소그룹 활동",D
13,02,학창시절,성취 및 도전 경험,감정 표현 개선 위한 소셜 활동 참여,D
13,02,지원동기,회사/직무 이해도,새로운 직무에 대한 도전 의지 보유,D
13,02,지원동기,지원 이유의 명확성,"배움과 성장을 위한 발판, 실무 역량 개발",C
13,02,지원동기,직무 적합성 강조,"빠른 학습력, 실무 강점, 유연한 문제 해결 능력",C
13,02,입사 후 포부,단기 목표,"업무에 빠르게 적응, 성실한 자세 유지",D
13,02,입사 후 포부,장기 비전,팀에 기여하는 유연한 인재로 성장,D
13,02,입사 후 포부,기여 방안,"열린 소통, 꾸준한 자기 개발",D
13,02,직무 경험,직무 관련 능력,"컴퓨터 실습, 악기 활용 프로젝트 등",D
13,02,직무 경험,문제 해결력,"기초 프로그램 활용, 일정 관리 능력",C
13,03,성장과정,가치관,"책임감, 성실함, 근면함",D
13,03,성장과정,가족/환경의 영향,부모님의 교육과 생활 태도,D
13,03,성장과정,전환점/특별한 경험,음식점 운영 경험 (30년 가족 사업 참여),C
13,03,성격의 장단점,장점 기술,"인내심, 탐구심, 책임감",D
13,03,성격의 장단점,단점 기술 및 극복 노력,"우선순위 설정, 소통 강화, 피드백 수용",C
13,03,성격의 장단점,대인관계 성향,책임감 있는 협력형 / 개선 노력 중,D
13,03,학창시절,학업 태도,"꾸준함, 계획적 수행",C
13,03,학창시절,활동 참여,"가족 음식점 실무 경험, 대인 접점 경험",C
13,03,학창시절,성취 및 도전 경험,"음식점 운영 지원, 감정 조절과 협업 역량 향상",C
13,03,지원동기,회사/직무 이해도,회사의 성장에 실질적 기여 의지,C
13,03,지원동기,지원 이유의 명확성,도전과 자기 성장의 기회로 인식,D
13,03,지원동기,직무 적합성 강조,"실무 경험 기반의 책임감, 고객 대응 경험",C
13,03,입사 후 포부,단기 목표,"빠른 적응, 협업 능력 강화",D
13,03,입사 후 포부,장기 비전,회사 성장에 기여하는 핵심 인재,C
13,03,입사 후 포부,기여 방안,현장 경험을 바탕으로 문제 예방 및 소통 기여,D
13,03,직무 경험,직무 관련 능력,"음식점 운영 보조, 고객 응대, 재료 관리 등",D
13,03,직무 경험,문제 해결력,"상황 대처 능력, 시간 관리, 책임감",C
13,04,성장과정,가치관,"자기주도, 도전정신, 성장지향",D
13,04,성장과정,가족/환경의 영향,가족의 응원과 지지,E
13,04,성장과정,전환점/특별한 경험,다양한 활동을 통한 자신감 형성,D
13,04,성격의 장단점,장점 기술,"탐구심, 관찰력, 컴퓨터 활용능력",D
13,04,성격의 장단점,단점 기술 및 극복 노력,"표정 연습, 대외활동 참여로 표현력 개선",C
13,04,성격의 장단점,대인관계 성향,"내성적이지만 개선 노력 중, 협업 가능",C
13,04,학창시절,학업 태도,"자기주도 학습, 꾸준한 실천",C
13,04,학창시절,활동 참여,"대외활동, 영상 편집, 이미지 보정 실습",C
13,04,학창시절,성취 및 도전 경험,표현력 개선을 위한 자기개발 활동 경험,C
13,04,지원동기,회사/직무 이해도,실무를 통한 성장 목표 인식,C
13,04,지원동기,지원 이유의 명확성,배우고 성장하기 위한 기회로 인식,D
13,04,지원동기,직무 적합성 강조,컴퓨터 활용 역량 + 탐구심 기반 업무 수행 가능,C
13,04,입사 후 포부,단기 목표,"빠른 업무 적응, 팀워크 확보",D
13,04,입사 후 포부,장기 비전,다양한 분야에서 주도적 기여,C
13,04,입사 후 포부,기여 방안,책임감 있는 참여와 소통 중심 협업,C
13,04,직무 경험,직무 관련 능력,"영상 편집, 이미지 보정, 컴퓨터 작업 경험",C
13,04,직무 경험,문제 해결력,"디지털 도구 활용력, 시각적 표현 능력",C
13,05,성장과정,가치관,배움과 성장을 중시 / 자기주도,D
13,05,성장과정,가족/환경의 영향,가족의 응원과 신뢰 / 자유로운 탐색 지원,C
13,05,성장과정,전환점/특별한 경험,자율성과 회복력 발달 / 탐색과 도전의 습관,C
13,05,성격의 장단점,장점 기술,호기심 / 지속적 학습 / 탐구심 / 자신감,C
13,05,성격의 장단점,단점 기술 및 극복 노력,스피치 강좌 수강 / 발표 훈련 / 자신감 향상,C
13,05,성격의 장단점,대인관계 성향,개선 중 / 표현력 향상 중 / 열린 소통 지향,C
13,05,학창시절,학업 태도,꾸준함 / 자기계발 중심 학습 태도,C
13,05,학창시절,활동 참여,"발표 수업, 강의 참여 / 표현력 개발 활동",C
13,05,학창시절,성취 및 도전 경험,스스로 약점을 인식하고 극복한 변화 경험,C
13,05,지원동기,회사/직무 이해도,새로운 환경에서 배우고 성장할 기회로 인식,C
13,05,지원동기,지원 이유의 명확성,자기개발 + 도전 욕구 충족 위한 명확한 목표,C
13,05,지원동기,직무 적합성 강조,호기심과 소통 향상 → 조직 적응에 강점,C
13,05,입사 후 포부,단기 목표,커뮤니케이션 역량 향상 / 빠른 조직 적응,C
13,05,입사 후 포부,장기 비전,실력 향상 → 팀 목표 기여 / 지속 성장,D
13,05,입사 후 포부,기여 방안,팀워크 기여 / 소통력 기반 성과 창출,D
13,05,직무 경험,직무 관련 능력,스피치 수업 경험 / 자기개발 활동,D
13,05,직무 경험,문제 해결력,발표력 / 적응력 / 학습능력,D
13,06,성장과정,가치관,성장과 배움 중시 / 책임감 / 성실한 태도,C
13,06,성장과정,가족/환경의 영향,가족의 지지 / 자율적 도전 환경,D
13,06,성장과정,전환점/특별한 경험,외국어 학습 / 다양한 환경에서 적응력 향상,C
13,06,성격의 장단점,장점 기술,언어 감각 / 적응력 / 책임감 / 관찰력,C
13,06,성격의 장단점,단점 기술 및 극복 노력,독서 / 명상 / 요가 / 감정 조절 능력 향상,C
13,06,성격의 장단점,대인관계 성향,유연한 소통 / 자기 성찰 기반 신뢰 추구형,C
13,06,학창시절,학업 태도,꾸준하고 자기주도적 학습 태도,D
13,06,학창시절,활동 참여,외국어 관련 활동 / 자기개발 지속,D
13,06,학창시절,성취 및 도전 경험,감정 조절 능력 향상 / 자기 훈련의 실천,C
13,06,지원동기,회사/직무 이해도,조직문화 적응 자신 / 실질적 기여 의지,C
13,06,지원동기,지원 이유의 명확성,배우고 성장하기 위한 구체적 목표,D
13,06,지원동기,직무 적합성 강조,언어 능력 + 책임감 → 직무 수행과 잘 맞음,C
13,06,입사 후 포부,단기 목표,업무 프로세스 이해 / 책임감 있는 수행,C
13,06,입사 후 포부,장기 비전,실무 전문성 확보 / 신뢰받는 구성원 성장,C
13,06,입사 후 포부,기여 방안,커뮤니케이션 역량 기반 팀 기여 / 지속적 자기개발,C
13,06,직무 경험,직무 관련 능력,외국어 관련 커뮤니케이션 / 자기주도 훈련,C
13,06,직무 경험,문제 해결력,언어 감각 / 빠른 적응력 / 문제 인식력,C
13,07,성장과정,가치관,"책임감, 독립심 중시",D
13,07,성장과정,가족/환경의 영향,부모님의 자율적 교육 영향,D
13,07,성장과정,전환점/특별한 경험,영국 유학 및 다양한 문화 경험,D
13,07,성격의 장단점,장점 기술,"빠른 적응력, 침착한 문제 분석, 꼼꼼함",C
13,07,성격의 장단점,단점 기술 및 극복 노력,"우선순위 설정, 협업 강화 → 효율적인 업무 수행",C
13,07,성격의 장단점,대인관계 성향,"다양한 국적의 사람들과의 교류 → 열린 시각, 원활한 커뮤니케이션 능력",C
13,07,학창시절,학업 태도,"성실한 자세, 도전정신",C
13,07,학창시절,활동 참여,"해외 학업, 현지 실무 적응 등 적극적인 참여",C
13,07,학창시절,성취 및 도전 경험,"영국·호주 회계사로의 실무 경험, 새로운 환경에서도 책임감 있게 업무 수행",B
13,07,지원동기,회사/직무 이해도,"글로벌 회계 기준, 시스템에 대한 실무 감각과 이해",B
13,07,지원동기,지원 이유의 명확성,"해외 실무 경험을 한국에서 확장, 글로벌 지향 회사 방향성과의 일치",C
13,07,지원동기,직무 적합성 강조,"회계 시스템과 프로세스 이해력, 책임감 있는 실무 수행 역량",C
13,07,입사 후 포부,단기 목표,"조직 적응, 프로세스 파악, 실무 안정화",C
13,07,입사 후 포부,장기 비전,"회계 → 재무기획 및 리스크 관리 등으로 역량 확장, 핵심 인재로 성장",C
13,07,입사 후 포부,기여 방안,재무 투명성 및 업무 효율성 향상 기여,C
13,07,직무 경험,직무 관련 능력,"영국·호주 회계사 실무, 글로벌 기준 경험",C
13,07,직무 경험,문제 해결력,"회계 처리, 수치 분석, 데이터 정확성 유지 능력",C
13,08,성장과정,가치관,"배움과 성장, 자기계발 중시",D
13,08,성장과정,가족/환경의 영향,가족의 따뜻한 지지 / 긍정적인 환경,D
13,08,성장과정,전환점/특별한 경험,다양한 직무 및 경험 탐색 기회,D
13,08,성격의 장단점,장점 기술,"언어 능력, 적응력, 책임감",D
13,08,성격의 장단점,단점 기술 및 극복 노력,"독서, 명상, 요가 습관 → 침착함 향상",C
13,08,성격의 장단점,대인관계 성향,책임감 있는 협업 지향 / 열린 자세,D
13,08,학창시절,학업 태도,"자기주도 학습, 경험 중시",D
13,08,학창시절,활동 참여,"다양한 직무 체험, 경험 중심 성장",D
13,08,학창시절,성취 및 도전 경험,실무 경험에서 적응력 발휘,D
13,08,지원동기,회사/직무 이해도,"성장, 학습 기회로 회사 인식",D
13,08,지원동기,지원 이유의 명확성,성장과 기여 의지 명확,D
13,08,지원동기,직무 적합성 강조,책임감 + 유연한 성격 → 직무 적합,D
13,08,입사 후 포부,단기 목표,"실무 적응, 역량 강화",D
13,08,입사 후 포부,장기 비전,"조직과 함께 성장, 기여",D
13,08,입사 후 포부,기여 방안,책임감 있는 자세 + 지속 개선 실천,D
13,08,직무 경험,직무 관련 능력,다양한 아르바이트 / 직무 체험,D
13,08,직무 경험,문제 해결력,"언어 역량, 유연성, 책임감",D
13,09,성장과정,가치관,"책임감, 공동체 의식, 성장 지향",D
13,09,성장과정,가족/환경의 영향,자원봉사와 지역 행사 경험 → 주도성과 협업 능력 형성,C
13,09,성장과정,전환점/특별한 경험,"대학 시절 토론 동아리 공동 설립, 산업 워크숍 기획",C
13,09,성격의 장단점,장점 기술,"명확하고 자신감 있는 커뮤니케이션, 리더십, 발표 능력",C
13,09,성격의 장단점,단점 기술 및 극복 노력,"작업 분할, 마일스톤 설정, 정기 피드백으로 효율성 향상",C
13,09,성격의 장단점,대인관계 성향,"팀워크, 협업 중심",E
13,09,학창시절,학업 태도,"적극적 학습자, 실무형 활동 중심",C
13,09,학창시절,활동 참여,"산업 워크숍 기획, 토론 동아리 공동 설립",C
13,09,학창시절,성취 및 도전 경험,지역 자선 활동 및 대형 워크숍 운영 경험,C
13,09,지원동기,회사/직무 이해도,행사 기획 및 커뮤니케이션 역량이 직무에 적합함,C
13,09,지원동기,지원 이유의 명확성,영어 발표 능력 향상 및 리더십 경험 기여 희망,C
13,09,지원동기,직무 적합성 강조,"발표, 조직 운영, 커뮤니케이션 역량 있음",C
13,09,입사 후 포부,단기 목표,"영어 프레젠테이션 능력 향상, 팀 프로젝트 참여",C
13,09,입사 후 포부,장기 비전,"발표 전문성 강화, 멘토십을 통한 성장",D
13,09,입사 후 포부,기여 방안,행사 기획 역량과 리더십으로 팀과 조직에 실질적 기여,D
13,09,직무 경험,직무 관련 능력,"워크숍 운영, 발표 경험 다수",D
13,09,직무 경험,문제 해결력,"커뮤니케이션, 기획, 리더십",C
13,10,성장과정,가치관,"책임감, 성실함",E
13,10,성장과정,가족/환경의 영향,"따뜻한 가족, 정직한 생활 습관",D
13,10,성장과정,전환점/특별한 경험,시간 엄수 습관 형성,D
13,10,성격의 장단점,장점 기술,"시간 약속 철저, 일정 관리 능력",D
13,10,성격의 장단점,단점 기술 및 극복 노력,체크리스트 활용 → 실수 감소,D
13,10,성격의 장단점,대인관계 성향,성실하고 책임감 있게 업무 수행,D
13,10,학창시절,학업 태도,성실한 자세로 꾸준한 학습 태도,E
13,10,학창시절,활동 참여,아르바이트,E
13,10,학창시절,성취 및 도전 경험,일정 관리 및 시간 준수로 성취 기반 마련,C
13,10,지원동기,회사/직무 이해도,자기 성장 및 회사 기여 의지,C
13,10,지원동기,지원 이유의 명확성,성장 기회 및 발판 확보 명확,D
13,10,지원동기,직무 적합성 강조,성실함 + 책임감 있는 태도 적합,D
13,10,입사 후 포부,단기 목표,주어진 업무에 최선을 다함,D
13,10,입사 후 포부,장기 비전,함께 성장하는 구성원 지향,D
13,10,입사 후 포부,기여 방안,조직 내 성실한 업무 수행으로 기여,E
13,10,직무 경험,직무 관련 능력,간접적 언급 (시간 관리 경험),E
13,10,직무 경험,문제 해결력,효율적 일정 관리,C
13,11,성장과정,가치관,nan,E
13,11,성장과정,가족/환경의 영향,nan,D
13,11,성장과정,전환점/특별한 경험,nan,D
13,11,성격의 장단점,장점 기술,nan,D
