trainee,id,cat,subcat,text,grade,input_text,label
16,5,지원동기,직무 적합성 강조,실습과 프로젝트 경험으로 현장 적응력과 기획력을 갖추었습니다.,A,[지원동기] [직무 적합성 강조] 실습과 프로젝트 경험으로 현장 적응력과 기획력을 갖추었습니다.,0
16,5,입사후포부,단기 목표,고객의 요구를 이해하고 만족도를 높이는 서비스를 제공하겠습니다.,B,[입사후포부] [단기 목표] 고객의 요구를 이해하고 만족도를 높이는 서비스를 제공하겠습니다.,1
16,5,입사후포부,장기 비전,서비스와 미디어를 융합해 브랜드 가치를 높이는 전문가가 되겠습니다.,A,[입사후포부] [장기 비전] 서비스와 미디어를 융합해 브랜드 가치를 높이는 전문가가 되겠습니다.,0
16,5,입사후포부,기여 방안,전략적 소통과 콘텐츠 활용으로 조직에 기여하겠습니다.,B,[입사후포부] [기여 방안] 전략적 소통과 콘텐츠 활용으로 조직에 기여하겠습니다.,1
16,5,직무경험,실무 경험,호텔 서비스 실습과 마케팅 기획 프로젝트 경험이 있습니다.,B,[직무경험] [실무 경험] 호텔 서비스 실습과 마케팅 기획 프로젝트 경험이 있습니다.,1
16,5,직무경험,직무 관련 능력,"고객 응대, 서비스 품질 관리 역량을 보유했습니다.",B,"[직무경험] [직무 관련 능력] 고객 응대, 서비스 품질 관리 역량을 보유했습니다.",1
16,5,직무경험,문제 해결력,팀 프로젝트에서 다양한 의견을 조율하며 최적의 결과를 도출했습니다.,C,[직무경험] [문제 해결력] 팀 프로젝트에서 다양한 의견을 조율하며 최적의 결과를 도출했습니다.,2
16,6,성장과정,가치관,콘텐츠를 통해 사람들에게 따뜻한 감정을 전하는 것에 가치를 두었습니다.,B,[성장과정] [가치관] 콘텐츠를 통해 사람들에게 따뜻한 감정을 전하는 것에 가치를 두었습니다.,1
16,6,성장과정,가족/환경의 영향,한국 드라마와 광고 콘텐츠를 즐기며 제작의 매력을 느꼈습니다.,B,[성장과정] [가족/환경의 영향] 한국 드라마와 광고 콘텐츠를 즐기며 제작의 매력을 느꼈습니다.,1
16,6,성장과정,전환점/특별한 경험,글로벌미디어학과 진학 후 제작 기획을 본격적으로 배우게 되었습니다.,C,[성장과정] [전환점/특별한 경험] 글로벌미디어학과 진학 후 제작 기획을 본격적으로 배우게 되었습니다.,2
16,6,성격의 장단점,장점 기술,성실하고 책임감을 가지고 맡은 일을 끝까지 수행합니다.,C,[성격의 장단점] [장점 기술] 성실하고 책임감을 가지고 맡은 일을 끝까지 수행합니다.,2
16,6,성격의 장단점,단점 기술 및 극복 노력,조용한 성격으로 발표가 어려웠지만 연습하며 자신감을 키웠습니다.,D,[성격의 장단점] [단점 기술 및 극복 노력] 조용한 성격으로 발표가 어려웠지만 연습하며 자신감을 키웠습니다.,3
16,6,성격의 장단점,대인관계 성향,팀원 의견을 경청하고 협력하며 소통을 즐깁니다.,B,[성격의 장단점] [대인관계 성향] 팀원 의견을 경청하고 협력하며 소통을 즐깁니다.,1
16,6,학창시절,학업 태도,"기획, 촬영, 편집 등 콘텐츠 제작 전 과정을 성실히 학습했습니다.",B,"[학창시절] [학업 태도] 기획, 촬영, 편집 등 콘텐츠 제작 전 과정을 성실히 학습했습니다.",1
16,6,학창시절,활동 참여,SNS 콘텐츠 제작 프로젝트에 참여해 실무 경험을 쌓았습니다.,B,[학창시절] [활동 참여] SNS 콘텐츠 제작 프로젝트에 참여해 실무 경험을 쌓았습니다.,1
16,6,학창시절,성취 및 도전 경험,Adobe 툴을 활용해 팀과 협력하며 완성도 높은 결과물을 제작했습니다.,C,[학창시절] [성취 및 도전 경험] Adobe 툴을 활용해 팀과 협력하며 완성도 높은 결과물을 제작했습니다.,2
16,6,지원동기,회사/직무 이해도,콘텐츠가 감정과 공감을 만드는 힘을 이해합니다.,A,[지원동기] [회사/직무 이해도] 콘텐츠가 감정과 공감을 만드는 힘을 이해합니다.,0
16,6,지원동기,지원 이유의 명확성,사람들에게 긍정적인 영향을 주는 콘텐츠를 기획하고자 지원했습니다.,A,[지원동기] [지원 이유의 명확성] 사람들에게 긍정적인 영향을 주는 콘텐츠를 기획하고자 지원했습니다.,0
16,6,지원동기,직무 적합성 강조,기획부터 제작까지의 경험과 툴 활용 능력을 갖추었습니다.,A,[지원동기] [직무 적합성 강조] 기획부터 제작까지의 경험과 툴 활용 능력을 갖추었습니다.,0
16,6,입사후포부,단기 목표,팀원과 소통하며 제작 역량을 빠르게 성장시키겠습니다.,B,[입사후포부] [단기 목표] 팀원과 소통하며 제작 역량을 빠르게 성장시키겠습니다.,1
16,6,입사후포부,장기 비전,많은 사람들에게 감동을 전하는 콘텐츠 기획자가 되고자 합니다.,A,[입사후포부] [장기 비전] 많은 사람들에게 감동을 전하는 콘텐츠 기획자가 되고자 합니다.,0
16,6,입사후포부,기여 방안,감정 이해와 공감을 바탕으로 고객에게 가치 있는 콘텐츠를 제공하겠습니다.,B,[입사후포부] [기여 방안] 감정 이해와 공감을 바탕으로 고객에게 가치 있는 콘텐츠를 제공하겠습니다.,1
16,6,직무경험,실무 경험,SNS 콘텐츠 제작 프로젝트 경험이 있습니다.,B,[직무경험] [실무 경험] SNS 콘텐츠 제작 프로젝트 경험이 있습니다.,1
16,6,직무경험,직무 관련 능력,"Adobe Premiere, Photoshop 등 활용 능력을 보유했습니다.",B,"[직무경험] [직무 관련 능력] Adobe Premiere, Photoshop 등 활용 능력을 보유했습니다.",1
16,6,직무경험,문제 해결력,제작 과정에서 발생하는 문제를 팀과 협력해 해결했습니다.,C,[직무경험] [문제 해결력] 제작 과정에서 발생하는 문제를 팀과 협력해 해결했습니다.,2
16,7,성장과정,가치관,언어를 통해 사람을 연결하고 문화를 전달하는 것에 가치를 두었습니다.,B,[성장과정] [가치관] 언어를 통해 사람을 연결하고 문화를 전달하는 것에 가치를 두었습니다.,1
16,7,성장과정,가족/환경의 영향,한국어와 문학에 대한 관심으로 자연스럽게 전공을 선택했습니다.,D,[성장과정] [가족/환경의 영향] 한국어와 문학에 대한 관심으로 자연스럽게 전공을 선택했습니다.,3
16,7,성장과정,전환점/특별한 경험,외국인 학습자 입장에서 배우며 교수법의 중요성을 깨달았습니다.,B,[성장과정] [전환점/특별한 경험] 외국인 학습자 입장에서 배우며 교수법의 중요성을 깨달았습니다.,1
16,7,성격의 장단점,장점 기술,친절하고 배려심 있게 상대방 입장을 고려합니다.,B,[성격의 장단점] [장점 기술] 친절하고 배려심 있게 상대방 입장을 고려합니다.,1
16,7,성격의 장단점,단점 기술 및 극복 노력,완벽을 추구해 부담을 느낄 때가 있어 유연함을 연습하고 있습니다.,D,[성격의 장단점] [단점 기술 및 극복 노력] 완벽을 추구해 부담을 느낄 때가 있어 유연함을 연습하고 있습니다.,3
16,7,성격의 장단점,대인관계 성향,학생들과 공감하며 인내심 있게 소통합니다.,B,[성격의 장단점] [대인관계 성향] 학생들과 공감하며 인내심 있게 소통합니다.,1
16,7,학창시절,학업 태도,"한국어 교수법, 언어습득 이론을 체계적으로 공부했습니다.",B,"[학창시절] [학업 태도] 한국어 교수법, 언어습득 이론을 체계적으로 공부했습니다.",1
16,7,학창시절,활동 참여,한국어 교육 봉사활동에 참여해 실전 경험을 쌓았습니다.,B,[학창시절] [활동 참여] 한국어 교육 봉사활동에 참여해 실전 경험을 쌓았습니다.,1
16,7,학창시절,성취 및 도전 경험,문법 설명과 발음 지도를 통해 수업 역량을 키웠습니다.,B,[학창시절] [성취 및 도전 경험] 문법 설명과 발음 지도를 통해 수업 역량을 키웠습니다.,1
16,7,지원동기,회사/직무 이해도,한국어 교사의 역할과 책임을 잘 이해하고 있습니다.,B,[지원동기] [회사/직무 이해도] 한국어 교사의 역할과 책임을 잘 이해하고 있습니다.,1
16,7,지원동기,지원 이유의 명확성,학습자 중심의 수업을 실현하고자 지원했습니다.,A,[지원동기] [지원 이유의 명확성] 학습자 중심의 수업을 실현하고자 지원했습니다.,0
16,7,지원동기,직무 적합성 강조,교수법 지식과 교육 봉사 경험을 바탕으로 기여할 수 있습니다.,A,[지원동기] [직무 적합성 강조] 교수법 지식과 교육 봉사 경험을 바탕으로 기여할 수 있습니다.,0
16,7,입사후포부,단기 목표,학습자 어려움을 경청하고 성실히 지도하겠습니다.,A,[입사후포부] [단기 목표] 학습자 어려움을 경청하고 성실히 지도하겠습니다.,0
16,7,입사후포부,장기 비전,따뜻하고 전문적인 한국어 교사로 성장하고자 합니다.,A,[입사후포부] [장기 비전] 따뜻하고 전문적인 한국어 교사로 성장하고자 합니다.,0
16,7,입사후포부,기여 방안,개별 학습 스타일을 존중하며 효과적인 수업을 제공하겠습니다.,B,[입사후포부] [기여 방안] 개별 학습 스타일을 존중하며 효과적인 수업을 제공하겠습니다.,1
16,7,직무경험,실무 경험,한국어 교육 봉사 경험이 있습니다.,A,[직무경험] [실무 경험] 한국어 교육 봉사 경험이 있습니다.,0
16,7,직무경험,직무 관련 능력,수업 설계와 교수법 활용 능력을 갖추었습니다.,A,[직무경험] [직무 관련 능력] 수업 설계와 교수법 활용 능력을 갖추었습니다.,0
16,7,직무경험,문제 해결력,학습자의 문제를 경청하고 해결 방안을 모색했습니다.,B,[직무경험] [문제 해결력] 학습자의 문제를 경청하고 해결 방안을 모색했습니다.,1
16,8,성장과정,가치관,소비자와 기업을 연결하며 신뢰를 구축하는 것에 가치를 두었습니다.,B,[성장과정] [가치관] 소비자와 기업을 연결하며 신뢰를 구축하는 것에 가치를 두었습니다.,1
16,8,성장과정,가족/환경의 영향,다양한 문화를 이해하고자 한국 유학을 결심했습니다.,B,[성장과정] [가족/환경의 영향] 다양한 문화를 이해하고자 한국 유학을 결심했습니다.,1
16,8,성장과정,전환점/특별한 경험,마케팅 수업과 프로젝트를 통해 실무 감각을 키웠습니다.,C,[성장과정] [전환점/특별한 경험] 마케팅 수업과 프로젝트를 통해 실무 감각을 키웠습니다.,2
16,8,성격의 장단점,장점 기술,낯선 환경에도 잘 적응하고 적극적으로 참여합니다.,B,[성격의 장단점] [장점 기술] 낯선 환경에도 잘 적응하고 적극적으로 참여합니다.,1
16,8,성격의 장단점,단점 기술 및 극복 노력,꼼꼼함으로 일정 관리에 시간이 걸려 우선순위를 설정하고 있습니다.,D,[성격의 장단점] [단점 기술 및 극복 노력] 꼼꼼함으로 일정 관리에 시간이 걸려 우선순위를 설정하고 있습니다.,3
16,8,성격의 장단점,대인관계 성향,팀원과 원활히 소통하며 협업을 중시합니다.,B,[성격의 장단점] [대인관계 성향] 팀원과 원활히 소통하며 협업을 중시합니다.,1
16,8,학창시절,학업 태도,경영학 전반을 체계적으로 공부하며 실무 역량을 키웠습니다.,B,[학창시절] [학업 태도] 경영학 전반을 체계적으로 공부하며 실무 역량을 키웠습니다.,1
16,8,학창시절,활동 참여,마케팅 조사 설계와 발표 경험을 쌓았습니다.,B,[학창시절] [활동 참여] 마케팅 조사 설계와 발표 경험을 쌓았습니다.,1
16,8,학창시절,성취 및 도전 경험,소비자 설문 분석을 통해 전략적 사고를 기르며 결과를 도출했습니다.,C,[학창시절] [성취 및 도전 경험] 소비자 설문 분석을 통해 전략적 사고를 기르며 결과를 도출했습니다.,2
16,8,지원동기,회사/직무 이해도,소비자 행동과 시장 분석의 중요성을 이해합니다.,B,[지원동기] [회사/직무 이해도] 소비자 행동과 시장 분석의 중요성을 이해합니다.,1
16,8,지원동기,지원 이유의 명확성,효과적인 마케팅 전략 수립을 위해 지원했습니다.,A,[지원동기] [지원 이유의 명확성] 효과적인 마케팅 전략 수립을 위해 지원했습니다.,0
16,8,지원동기,직무 적합성 강조,조사 설계와 발표 경험을 살려 기여할 수 있습니다.,A,[지원동기] [직무 적합성 강조] 조사 설계와 발표 경험을 살려 기여할 수 있습니다.,0
16,8,입사후포부,단기 목표,현장에서 빠르게 적응하며 실무 역량을 강화하겠습니다.,B,[입사후포부] [단기 목표] 현장에서 빠르게 적응하며 실무 역량을 강화하겠습니다.,1
16,8,입사후포부,장기 비전,소비자와 기업을 잇는 신뢰받는 마케터로 성장하겠습니다.,A,[입사후포부] [장기 비전] 소비자와 기업을 잇는 신뢰받는 마케터로 성장하겠습니다.,0
16,8,입사후포부,기여 방안,소비자 분석을 기반으로 창의적 전략을 제안하겠습니다.,B,[입사후포부] [기여 방안] 소비자 분석을 기반으로 창의적 전략을 제안하겠습니다.,1
16,8,직무경험,실무 경험,마케팅 조사와 팀 프로젝트 경험이 있습니다.,A,[직무경험] [실무 경험] 마케팅 조사와 팀 프로젝트 경험이 있습니다.,0
16,8,직무경험,직무 관련 능력,"Excel, PowerPoint를 활용한 분석 역량을 보유했습니다.",A,"[직무경험] [직무 관련 능력] Excel, PowerPoint를 활용한 분석 역량을 보유했습니다.",0
16,8,직무경험,문제 해결력,소비자 니즈를 파악해 효과적인 전략을 수립했습니다.,B,[직무경험] [문제 해결력] 소비자 니즈를 파악해 효과적인 전략을 수립했습니다.,1
16,9,성장과정,가치관,문화의 이해와 교류를 통해 긍정적 영향을 주는 것에 가치를 두었습니다.,A,[성장과정] [가치관] 문화의 이해와 교류를 통해 긍정적 영향을 주는 것에 가치를 두었습니다.,0
16,9,성장과정,가족/환경의 영향,한국 드라마와 음악을 즐기며 한국 문화에 깊은 관심을 가졌습니다.,B,[성장과정] [가족/환경의 영향] 한국 드라마와 음악을 즐기며 한국 문화에 깊은 관심을 가졌습니다.,1
16,9,성장과정,전환점/특별한 경험,글로벌한국학 석사과정에서 전문 지식을 체계적으로 배우게 되었습니다.,A,[성장과정] [전환점/특별한 경험] 글로벌한국학 석사과정에서 전문 지식을 체계적으로 배우게 되었습니다.,0
16,9,성격의 장단점,장점 기술,책임감을 가지고 맡은 일을 성실히 수행합니다.,B,[성격의 장단점] [장점 기술] 책임감을 가지고 맡은 일을 성실히 수행합니다.,1
16,9,성격의 장단점,단점 기술 및 극복 노력,완벽함을 추구해 결정이 늦을 때가 있어 우선순위를 설정하며 개선하고 있습니다.,D,[성격의 장단점] [단점 기술 및 극복 노력] 완벽함을 추구해 결정이 늦을 때가 있어 우선순위를 설정하며 개선하고 있습니다.,3
16,9,성격의 장단점,대인관계 성향,다양한 사람들과 긍정적인 분위기를 만들며 협업을 조율합니다.,B,[성격의 장단점] [대인관계 성향] 다양한 사람들과 긍정적인 분위기를 만들며 협업을 조율합니다.,1
16,9,학창시절,학업 태도,한국 역사·문화·사회 전반을 체계적으로 학습했습니다.,A,[학창시절] [학업 태도] 한국 역사·문화·사회 전반을 체계적으로 학습했습니다.,0
16,9,학창시절,활동 참여,문화 교류 행사와 세미나에 적극 참여했습니다.,B,[학창시절] [활동 참여] 문화 교류 행사와 세미나에 적극 참여했습니다.,1
16,9,학창시절,성취 및 도전 경험,한류와 동남아 문화 교류 프로젝트를 수행했습니다.,A,[학창시절] [성취 및 도전 경험] 한류와 동남아 문화 교류 프로젝트를 수행했습니다.,0
16,9,지원동기,회사/직무 이해도,한국과 베트남 간 문화적 가교 역할의 중요성을 이해합니다.,A,[지원동기] [회사/직무 이해도] 한국과 베트남 간 문화적 가교 역할의 중요성을 이해합니다.,0
16,9,지원동기,지원 이유의 명확성,양국의 문화를 연결하고자 지원했습니다.,A,[지원동기] [지원 이유의 명확성] 양국의 문화를 연결하고자 지원했습니다.,0
16,9,지원동기,직무 적합성 강조,연구 경험과 교류 기획 역량을 활용할 자신이 있습니다.,A,[지원동기] [직무 적합성 강조] 연구 경험과 교류 기획 역량을 활용할 자신이 있습니다.,0
16,9,입사후포부,단기 목표,현장에서 다양한 의견을 경청하며 실무 경험을 쌓겠습니다.,A,[입사후포부] [단기 목표] 현장에서 다양한 의견을 경청하며 실무 경험을 쌓겠습니다.,0
16,9,입사후포부,장기 비전,한국과 베트남을 잇는 전문가로 성장하겠습니다.,A,[입사후포부] [장기 비전] 한국과 베트남을 잇는 전문가로 성장하겠습니다.,0
16,9,입사후포부,기여 방안,문화 교류 프로그램을 기획하며 상호 이해를 증진하겠습니다.,B,[입사후포부] [기여 방안] 문화 교류 프로그램을 기획하며 상호 이해를 증진하겠습니다.,1
16,9,직무경험,실무 경험,문화 교류 행사와 연구 프로젝트 참여 경험이 있습니다.,A,[직무경험] [실무 경험] 문화 교류 행사와 연구 프로젝트 참여 경험이 있습니다.,0
16,9,직무경험,직무 관련 능력,한국 역사·문화 연구 역량을 갖추었습니다.,A,[직무경험] [직무 관련 능력] 한국 역사·문화 연구 역량을 갖추었습니다.,0
16,9,직무경험,문제 해결력,다양한 의견을 종합해 최적의 방안을 도출했습니다.,B,[직무경험] [문제 해결력] 다양한 의견을 종합해 최적의 방안을 도출했습니다.,1
16,10,성장과정,가치관,기술을 통해 사람들의 삶을 편리하게 만드는 것에 가치를 두었습니다.,B,[성장과정] [가치관] 기술을 통해 사람들의 삶을 편리하게 만드는 것에 가치를 두었습니다.,1
16,10,성장과정,가족/환경의 영향,어릴 적부터 웹사이트 제작과 컴퓨터 활용에 흥미를 가졌습니다.,B,[성장과정] [가족/환경의 영향] 어릴 적부터 웹사이트 제작과 컴퓨터 활용에 흥미를 가졌습니다.,1
16,10,성장과정,전환점/특별한 경험,컴퓨터공학 전공을 선택해 프론트엔드 개발을 체계적으로 배우게 되었습니다.,B,[성장과정] [전환점/특별한 경험] 컴퓨터공학 전공을 선택해 프론트엔드 개발을 체계적으로 배우게 되었습니다.,1
16,10,성격의 장단점,장점 기술,성실하고 끈기 있게 문제를 끝까지 해결합니다.,B,[성격의 장단점] [장점 기술] 성실하고 끈기 있게 문제를 끝까지 해결합니다.,1
16,10,성격의 장단점,단점 기술 및 극복 노력,완벽을 추구해 시간이 오래 걸릴 때가 있어 일정 관리 능력을 키우고 있습니다.,D,[성격의 장단점] [단점 기술 및 극복 노력] 완벽을 추구해 시간이 오래 걸릴 때가 있어 일정 관리 능력을 키우고 있습니다.,3
16,10,성격의 장단점,대인관계 성향,팀 프로젝트에서 원활한 소통과 협업을 중요시합니다.,B,[성격의 장단점] [대인관계 성향] 팀 프로젝트에서 원활한 소통과 협업을 중요시합니다.,1
16,10,학창시절,학업 태도,"HTML, CSS, JavaScript 등 웹 기술을 성실히 학습했습니다.",B,"[학창시절] [학업 태도] HTML, CSS, JavaScript 등 웹 기술을 성실히 학습했습니다.",1
16,10,학창시절,활동 참여,팀 프로젝트에서 반응형 웹사이트를 제작했습니다.,B,[학창시절] [활동 참여] 팀 프로젝트에서 반응형 웹사이트를 제작했습니다.,1
16,10,학창시절,성취 및 도전 경험,UI/UX 설계와 코드 리뷰를 통해 협업 경험을 쌓았습니다.,A,[학창시절] [성취 및 도전 경험] UI/UX 설계와 코드 리뷰를 통해 협업 경험을 쌓았습니다.,0
16,10,지원동기,회사/직무 이해도,사용자 중심의 직관적인 웹 서비스의 중요성을 잘 이해합니다.,B,[지원동기] [회사/직무 이해도] 사용자 중심의 직관적인 웹 서비스의 중요성을 잘 이해합니다.,1
16,10,지원동기,지원 이유의 명확성,프론트엔드 개발자로서 사용자의 편의를 높이고자 지원했습니다.,A,[지원동기] [지원 이유의 명확성] 프론트엔드 개발자로서 사용자의 편의를 높이고자 지원했습니다.,0
16,10,지원동기,직무 적합성 강조,React 기반 웹 개발 경험과 협업 역량을 갖추었습니다.,A,[지원동기] [직무 적합성 강조] React 기반 웹 개발 경험과 협업 역량을 갖추었습니다.,0
16,10,입사후포부,단기 목표,팀과 원활하게 소통하며 실무 프로젝트에 빠르게 적응하겠습니다.,A,[입사후포부] [단기 목표] 팀과 원활하게 소통하며 실무 프로젝트에 빠르게 적응하겠습니다.,0
16,10,입사후포부,장기 비전,사용자 경험을 고려한 직관적 웹 서비스를 개발하는 개발자가 되고자 합니다.,A,[입사후포부] [장기 비전] 사용자 경험을 고려한 직관적 웹 서비스를 개발하는 개발자가 되고자 합니다.,0
16,10,입사후포부,기여 방안,새로운 기술을 빠르게 습득해 팀의 목표 달성에 기여하겠습니다.,B,[입사후포부] [기여 방안] 새로운 기술을 빠르게 습득해 팀의 목표 달성에 기여하겠습니다.,1
16,10,직무경험,실무 경험,팀 프로젝트를 통한 웹사이트 제작 경험이 있습니다.,A,[직무경험] [실무 경험] 팀 프로젝트를 통한 웹사이트 제작 경험이 있습니다.,0
16,10,직무경험,직무 관련 능력,"HTML, CSS, JavaScript, React 활용 역량을 보유했습니다.",A,"[직무경험] [직무 관련 능력] HTML, CSS, JavaScript, React 활용 역량을 보유했습니다.",0
16,10,직무경험,문제 해결력,코드 리뷰와 기능 분담을 통해 효율적인 협업을 경험했습니다.,B,[직무경험] [문제 해결력] 코드 리뷰와 기능 분담을 통해 효율적인 협업을 경험했습니다.,1
17,1,성장과정,가치관,저는 기계공학자이신 아버지 밑에서 성장하면서 항상 기계에 대한 호기심을 가지고 자랐습니다.,B,[성장과정] [가치관] 저는 기계공학자이신 아버지 밑에서 성장하면서 항상 기계에 대한 호기심을 가지고 자랐습니다.,1
17,1,성장과정,가족/환경의 영향,아버지와 함께 자동차 엔진을 분해하고 다시 조립해보는 경험을 통해 문제 해결력과 끈기를 배웠습니다.,A,[성장과정] [가족/환경의 영향] 아버지와 함께 자동차 엔진을 분해하고 다시 조립해보는 경험을 통해 문제 해결력과 끈기를 배웠습니다.,0
17,1,성장과정,전환점/특별한 경험,"고등학교 시절, 작은 로봇 동아리에 참여해 지역 대회에서 수상하면서 제가 가진 실력을 체감했고, 이것이 진로의 전환점이 되었습니다.",B,"[성장과정] [전환점/특별한 경험] 고등학교 시절, 작은 로봇 동아리에 참여해 지역 대회에서 수상하면서 제가 가진 실력을 체감했고, 이것이 진로의 전환점이 되었습니다.",1
17,1,성격의 장단점,장점 기술,"저는 성실하고 책임감이 강한 편입니다. 고기싸롱에서 일할 당시, 동료가 갑작스레 빠진 상황에서 자발적으로 더 많은 근무를 하며 매장을 원활하게 운영할 수 있도록 도왔습니다.",A,"[성격의 장단점] [장점 기술] 저는 성실하고 책임감이 강한 편입니다. 고기싸롱에서 일할 당시, 동료가 갑작스레 빠진 상황에서 자발적으로 더 많은 근무를 하며 매장을 원활하게 운영할 수 있도록 도왔습니다.",0
17,1,성격의 장단점,단점 기술 및 극복 노력,"낯선 사람들과 처음 대화할 때 약간 긴장하는 단점이 있었지만, 서빙 업무를 통해 다양한 고객을 응대하면서 점차 개선되었습니다.",A,"[성격의 장단점] [단점 기술 및 극복 노력] 낯선 사람들과 처음 대화할 때 약간 긴장하는 단점이 있었지만, 서빙 업무를 통해 다양한 고객을 응대하면서 점차 개선되었습니다.",0
17,1,성격의 장단점,대인관계 성향,서빙 업무를 통해 다양한 고객을 응대하면서 점차 개선되었습니다.,C,[성격의 장단점] [대인관계 성향] 서빙 업무를 통해 다양한 고객을 응대하면서 점차 개선되었습니다.,2
17,1,학창시절,학업 태도,중앙대학교에서 기계공학을 전공하면서 실험과 프로젝트 수업에 특히 적극적으로 참여했습니다.,A,[학창시절] [학업 태도] 중앙대학교에서 기계공학을 전공하면서 실험과 프로젝트 수업에 특히 적극적으로 참여했습니다.,0
17,1,학창시절,활동 참여,팀 프로젝트에서는 CAD 모델링 및 부품 설계 역할을 맡아 실질적인 프로토타입 제작까지 주도했습니다.,B,[학창시절] [활동 참여] 팀 프로젝트에서는 CAD 모델링 및 부품 설계 역할을 맡아 실질적인 프로토타입 제작까지 주도했습니다.,1
17,1,학창시절,성취 및 도전 경험,이 과정에서 협업의 중요성과 의사소통 능력을 키웠습니다.,B,[학창시절] [성취 및 도전 경험] 이 과정에서 협업의 중요성과 의사소통 능력을 키웠습니다.,1
17,1,지원동기,회사/직무 이해도,귀사는 기계 설계와 생산 자동화 분야에서 혁신을 주도하고 있는 기업으로 알고 있습니다. 특히 최근 발표한 스마트 팩토리 솔루션에 깊은 인상을 받았습니다.,A,[지원동기] [회사/직무 이해도] 귀사는 기계 설계와 생산 자동화 분야에서 혁신을 주도하고 있는 기업으로 알고 있습니다. 특히 최근 발표한 스마트 팩토리 솔루션에 깊은 인상을 받았습니다.,0
